conductorMaterial,cableCoreArrangement,cableType,circuitType,description,unenclosed_spaced.current,unenclosed_spaced.installTemp,unenclosed_spaced.cableArrangement,unenclosed_surface.current,unenclosed_surface.installTemp,unenclosed_surface.cableArrangement,unenclosed_touching.current,unenclosed_touching.installTemp,unenclosed_touching.cableArrangement,enclosed_conduit.current,enclosed_conduit.installTemp,enclosed_conduit.cableArrangement,enclosed_partial.current,enclosed_partial.installTemp,enclosed_partial.cableArrangement,enclosed_complete.current,enclosed_complete.installTemp,enclosed_complete.cableArrangement,buried_direct.current,buried_direct.installTemp,buried_direct.cableArrangement,ducts_single.current,ducts_single.installTemp,ducts_single.cableArrangement,ducts_per_cable.current,ducts_per_cable.installTemp,ducts_per_cable.cableArrangement,activeCores.size,activeCores.sizeUnit,activeCores.number,neutralCores.size,neutralCores.sizeUnit,neutralCores.number,earthCores.size,earthCores.sizeUnit,earthCores.number,insulation.name,insulation.code,insulation.conductorTemperature,insulation.maxTemperature,sheath,CableScreen.name,CableScreen.faultWithstand,armoured,CoreScreen.type,voltRating,isFlex,impedance.MVAM,impedance.rOhmsPerKM,impedance.xOhmsPerKM,impedance.zOhmsPerKM,manufacturer.name,manufacturer.partNumber,rev.number,rev.date
CU,1C,ACTIVE,SINGLE,1C 120MM2 CU XLPE/PVC X-90 0.6/1kV,422,40,NIL,393,40,NIL,325,40,NIL,292,40,NIL,233,40,NIL,0,40,NIL,427,25,NIL,325,25,NIL,358,25,NIL,120,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.431,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 150MM2 CU XLPE/PVC X-90 0.6/1kV,486,40,NIL,451,40,NIL,375,40,NIL,329,40,NIL,263,40,NIL,0,40,NIL,480,25,NIL,365,25,NIL,401,25,NIL,150,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.365,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 185MM2 CU XLPE/PVC X-90 0.6/1kV,565,40,NIL,522,40,NIL,436,40,NIL,387,40,NIL,309,40,NIL,0,40,NIL,543,25,NIL,423,25,NIL,463,25,NIL,185,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.311,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 240MM2 CU XLPE/PVC X-90 0.6/1kV,678,40,NIL,622,40,NIL,522,40,NIL,461,40,NIL,369,40,NIL,0,40,NIL,630,25,NIL,497,25,NIL,536,25,NIL,240,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.262,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 300MM2 CU XLPE/PVC X-90 0.6/1kV,787,40,NIL,718,40,NIL,605,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,711,25,NIL,562,25,NIL,620,25,NIL,300,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.233,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 400MM2 CU XLPE/PVC X-90 0.6/1kV,923,40,NIL,836,40,NIL,708,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,808,25,NIL,653,25,NIL,706,25,NIL,400,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.211,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 500MM2 CU XLPE/PVC X-90 0.6/1kV,1078,40,NIL,966,40,NIL,821,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,913,25,NIL,739,25,NIL,800,25,NIL,500,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.196,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 630MM2 CU XLPE/PVC X-90 0.6/1kV,1261,40,NIL,1113,40,NIL,950,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,1026,25,NIL,856,25,NIL,930,25,NIL,630,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.184,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 1MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,0,25,NIL,1,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 1.5MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,0,25,NIL,1.5,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 2.5MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,0,25,NIL,2.5,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 4MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,0,25,NIL,4,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 6MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,0,25,NIL,6,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 10MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,0,25,NIL,10,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,1C,ACTIVE,SINGLE,1C 16MM2 AL XLPE/PVC X-90 0.6/1kV,87,40,NIL,84,40,NIL,67,40,NIL,65,40,NIL,52,40,NIL,33,40,NIL,107,25,NIL,78,25,NIL,87,25,NIL,16,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,4.91,0,0,0,Olex,,A,
